remap_userid	remap_locationid	rate	latitude	longtitude
1	1525	1	37.579032	-122.344851
1	1090	249	37.584103000000006	-122.366083
1	1192	12	37.598546999999996	-122.387194
1	1505	40	37.654656	-122.40775
1	1083	11	38.249358	-122.03996599999999
1	505	1	37.615223	-122.389979
1	146	1	37.226611	-121.97468
1	793	1	37.485215000000004	-122.236355
1	1467	19	37.774929	-122.41941499999999
1	1407	50	37.613825	-122.486919
1	294	5	37.705766	-122.46191699999999
1	378	22	37.562992	-122.325525
1	412	6	37.441883000000004	-122.143019
1	988	2	37.424106	-122.166076
1	570	4	39.529633000000004	-119.81380300000001
1	1452	1	38.581571999999994	-121.4944
1	1250	2	37.616602	-122.404417
1	836	1	37.386052	-122.083851
2	759	247	39.739154	-104.984703
2	293	4	39.748948999999996	-105.007393
2	339	1	39.756038000000004	-105.009394
2	211	47	39.891077	-105.068532
2	959	5	39.785198	-104.891902
2	1151	2	39.761864	-105.01613600000002
2	810	1	40.714269	-74.005973
2	1269	2	39.838051	-104.709423
2	236	16	39.748625	-105.00761399999999
2	608	1	39.712495000000004	-104.99902800000001
2	724	1	39.80832	-104.93386799999999
2	482	7	39.785236	-104.891552
2	1272	1	39.929957	-105.13088300000001
2	1447	11	39.703291	-104.932505
2	964	6	39.878664	-104.682105
2	853	2	39.731926	-104.962023
2	843	3	39.748093	-104.99888999999999
2	957	32	39.762146	-104.98248000000001
2	1046	5	39.719415999999995	-104.956124
2	162	5	39.7435	-104.980177
2	769	9	39.848233	-104.675031
2	1438	1	39.665467	-105.205564
2	521	2	39.754264	-104.997359
2	165	2	39.743639	-104.99035400000001
2	5	1	39.746295	-104.979879
2	505	2	37.615223	-122.389979
2	1413	2	37.600747	-122.38237600000001
2	1467	1	37.774929	-122.41941499999999
2	830	1	39.861655999999996	-104.673177
2	788	1	39.714804	-104.946141
2	534	6	39.693335	-104.939971
2	186	1	33.434277	-112.011583
2	1473	2	40.016488	-105.28199
2	1366	1	40.014986	-105.270546
2	315	1	39.750048	-104.999835
2	1454	2	39.750298	-105.00008600000001
2	1484	3	39.886782000000004	-105.074592
2	201	1	29.954648	-90.07507199999999
2	132	1	38.997935999999996	-105.55089
2	504	1	39.73968	-104.956599
2	736	3	39.748543	-104.99659299999999
2	422	1	39.756277000000004	-104.991222
2	1197	6	39.802764	-105.087484
2	647	1	39.836653000000005	-105.037205
3	1485	1	39.961176	-82.99879399999999
3	402	2	38.952742	-77.447758
3	823	1	41.921738	-87.712336
3	1072	157	37.580304	-122.34367900000001
3	880	4	37.579938	-122.34626999999999
3	701	43	37.579361	-122.346108
3	1382	5	37.577199	-122.349073
3	1467	18	37.774929	-122.41941499999999
3	1090	10	37.584103000000006	-122.366083
3	1525	2	37.579032	-122.344851
3	1193	3	37.783743	-122.40212700000001
3	409	5	37.778783000000004	-122.39071899999999
3	1505	1	37.654656	-122.40775
3	1192	1	37.598546999999996	-122.387194
3	223	2	25.790654	-80.130045
3	881	1	39.762352	-104.98236599999998
3	1166	1	37.578202000000005	-122.34764399999999
3	988	1	37.424106	-122.166076
3	33	2	37.785478000000005	-122.39971399999999
4	1072	39	37.580304	-122.34367900000001
4	1124	1	38.953379999999996	-77.44783000000001
4	1142	1	38.968721	-77.341096
4	1467	92	37.774929	-122.41941499999999
4	1090	69	37.584103000000006	-122.366083
4	650	2	42.358431	-71.05977299999999
4	1250	2	37.616602	-122.404417
4	330	4	40.675431	-73.971248
4	861	3	37.368829999999996	-122.03635
4	800	2	51.508415	-0.125533
4	294	4	37.705766	-122.46191699999999
4	36	6	40.652326	-73.82735699999999
4	600	2	38.440467	-122.714431
4	1083	1	38.249358	-122.03996599999999
4	907	3	38.356577	-121.98774399999999
4	1255	6	37.63049	-122.411084
4	412	2	37.441883000000004	-122.143019
4	505	5	37.615223	-122.389979
4	218	3	38.953381	-77.447712
4	626	2	39.401496	-76.601912
4	1193	3	37.783743	-122.40212700000001
4	152	1	37.770011	-122.42224499999999
5	823	1	41.921738	-87.712336
5	1467	1	37.774929	-122.41941499999999
5	61	1	43.038902	-87.906474
5	1193	4	37.783743	-122.40212700000001
5	449	2	37.616476	-122.3839
5	25	1	42.033362	-87.883399
5	524	25	41.850033	-87.650052
5	999	5	39.755320000000005	-105.009524
5	1386	1	41.785971999999994	-87.752416
5	964	4	39.878664	-104.682105
5	759	1	39.739154	-104.984703
5	486	1	41.981619	-87.909277
5	851	1	37.614712	-122.392082
5	33	1	37.785478000000005	-122.39971399999999
5	647	31	39.836653000000005	-105.037205
5	590	3	39.750518	-104.99913500000001
5	957	2	39.762146	-104.98248000000001
6	1166	31	37.578202000000005	-122.34764399999999
6	496	3	37.578715	-122.34643100000001
6	701	22	37.579361	-122.346108
6	1090	300	37.584103000000006	-122.366083
6	58	5	36.600238	-121.894676
6	854	2	36.677737	-121.655501
6	324	2	37.0	127.5
6	409	2	37.778783000000004	-122.39071899999999
6	1467	29	37.774929	-122.41941499999999
6	1199	1	37.453827000000004	-122.18218700000001
6	880	4	37.579938	-122.34626999999999
6	449	1	37.616476	-122.3839
6	810	14	40.714269	-74.005973
6	977	1	47.449968	-122.300075
6	1407	1	37.613825	-122.486919
6	1402	5	37.618889	-122.375
6	1088	2	30.261989	-97.739457
6	1228	1	30.26495	-97.738952
6	1382	1	37.577199	-122.349073
6	861	1	37.368829999999996	-122.03635
6	1177	1	36.084631	-115.149751
6	133	3	40.757929	-73.985506
6	988	2	37.424106	-122.166076
6	72	6	37.804372	-122.270803
6	1387	1	47.448889	-122.309444
6	168	1	33.414768	-111.90931
6	1448	2	37.339386	-121.89495500000001
6	985	1	40.64248	-73.788071
6	505	8	37.615223	-122.389979
6	941	3	37.778296000000005	-122.38984099999999
6	272	2	37.769968	-122.467174
6	881	10	39.762352	-104.98236599999998
6	164	1	39.740031	-104.98018
6	964	2	39.878664	-104.682105
6	769	2	39.848233	-104.675031
6	903	1	39.750502000000004	-104.99911399999999
6	1151	1	39.761864	-105.01613600000002
6	739	1	43.000238	-107.500904
6	378	3	37.562992	-122.325525
6	233	3	37.322998	-122.032182
6	1255	3	37.63049	-122.411084
6	1250	4	37.616602	-122.404417
6	36	2	40.652326	-73.82735699999999
6	477	1	40.682047	-74.208201
6	1089	1	33.959734999999995	-118.400632
6	500	4	34.052234000000006	-118.24368500000001
6	483	1	36.08685	-115.145941
6	557	1	36.121621000000005	-115.168967
6	860	2	47.037874	-122.900695
7	1072	454	37.580304	-122.34367900000001
7	505	12	37.615223	-122.389979
7	218	5	38.953381	-77.447712
7	146	1	37.226611	-121.97468
7	1525	3	37.579032	-122.344851
7	880	6	37.579938	-122.34626999999999
7	810	4	40.714269	-74.005973
7	701	5	37.579361	-122.346108
7	409	4	37.778783000000004	-122.39071899999999
7	1505	1	37.654656	-122.40775
7	1166	8	37.578202000000005	-122.34764399999999
7	316	1	37.005782	-121.568275
7	861	5	37.368829999999996	-122.03635
7	195	1	37.507159	-122.260522
7	378	5	37.562992	-122.325525
7	1199	1	37.453827000000004	-122.18218700000001
7	1090	2	37.584103000000006	-122.366083
7	579	9	37.366695	-121.92590600000001
7	1382	1	37.577199	-122.349073
7	1467	2	37.774929	-122.41941499999999
7	327	2	37.711496000000004	-122.213291
7	412	3	37.441883000000004	-122.143019
7	1407	2	37.613825	-122.486919
7	957	2	39.762146	-104.98248000000001
7	793	1	37.485215000000004	-122.236355
7	608	2	39.712495000000004	-104.99902800000001
7	1273	2	39.855371999999996	-104.68510400000001
7	759	2	39.739154	-104.984703
7	823	1	41.921738	-87.712336
7	742	1	38.830391	-77.19637
7	743	1	39.250239	-111.751034
7	1324	1	37.692236	-97.33754499999999
7	500	1	34.052234000000006	-118.24368500000001
7	800	1	51.508415	-0.125533
7	1365	1	32.783056	-96.806667
7	524	1	41.850033	-87.650052
7	806	1	47.606209	-122.332071
7	496	6	37.578715	-122.34643100000001
7	1413	5	37.600747	-122.38237600000001
7	445	1	37.354108000000004	-121.95523600000001
7	964	8	39.878664	-104.682105
7	881	3	39.762352	-104.98236599999998
7	1252	1	36.974117	-122.030796
7	1235	7	39.848233	-104.675031
8	1232	1	39.716439	-104.98762099999999
8	1	1	39.740396000000004	-104.975265
8	1273	3	39.855371999999996	-104.68510400000001
8	1001	8	39.740184	-104.948384
8	1162	5	39.757712	-105.010947
8	1152	11	39.063871	-108.55064899999999
8	326	12	39.740165999999995	-104.94838500000002
8	759	226	39.739154	-104.984703
8	608	4	39.712495000000004	-104.99902800000001
8	162	4	39.7435	-104.980177
8	461	2	39.740071	-104.97725700000001
8	437	1	39.763069	-105.00560700000001
8	196	2	40.58526	-105.084423
8	1451	6	39.753326	-104.997946
8	111	4	39.736858000000005	-104.99074499999999
8	1182	9	39.750294	-104.997723
8	1029	2	39.759803999999995	-104.984255
8	651	2	45.58961	-122.59212099999999
8	769	2	39.848233	-104.675031
8	320	22	39.758015	-105.011242
8	926	1	33.766962	-118.18923500000001
8	964	2	39.878664	-104.682105
8	1257	4	39.736823	-104.984326
8	1455	1	39.759479999999996	-105.0111
8	1527	4	39.00027	-105.50083300000001
8	1211	3	39.653599	-105.1911
8	164	1	39.740031	-104.98018
8	1109	4	39.74044	-104.97176499999999
8	416	6	39.718907	-104.987499
8	1066	7	39.740986	-104.977627
8	888	8	39.73333	-104.991102
8	1017	5	39.776639	-105.043361
8	748	2	30.264941999999998	-97.738978
8	646	1	39.755072999999996	-104.990501
8	252	2	69.508611	31.300833
8	224	5	39.760044	-104.983942
8	1279	6	39.75213	-105.004088
8	957	8	39.762146	-104.98248000000001
8	1428	3	39.716361	-104.98756499999999
8	843	2	39.748093	-104.99888999999999
8	484	3	39.751425	-105.000289
8	1164	2	39.751548	-104.99961299999998
8	623	1	39.574431	-106.09751999999999
8	1284	3	39.6773	-105.194
8	1454	1	39.750298	-105.00008600000001
8	855	3	40.01695	-105.280801
8	1385	4	39.742488	-105.513608
9	236	6	39.748625	-105.00761399999999
9	1498	7	39.754373	-104.990778
9	908	1	39.746179999999995	-104.995574
9	157	1	40.016203000000004	-105.28176299999998
9	1059	1	39.717915999999995	-104.987283
9	164	1	39.740031	-104.98018
9	1071	1	40.016232	-105.284228
9	326	7	39.740165999999995	-104.94838500000002
9	461	3	39.740071	-104.97725700000001
9	499	1	39.716361	-104.987541
9	1206	1	39.657303999999996	-104.98771299999999
9	759	105	39.739154	-104.984703
9	1197	7	39.802764	-105.087484
9	1366	7	40.014986	-105.270546
9	1345	1	39.61721	-104.950814
9	1211	6	39.653599	-105.1911
9	818	4	39.704987	-104.93359
9	647	5	39.836653000000005	-105.037205
9	150	1	39.920541	-104.865808
9	20	1	33.653442999999996	-84.449372
9	591	2	38.882334	-77.171091
9	183	1	39.00622	-77.428599
9	434	2	39.729432	-104.831919
9	196	2	40.58526	-105.084423
9	1403	1	39.704709	-105.081373
9	837	1	39.579155	-104.876923
9	1017	8	39.776639	-105.043361
9	320	23	39.758015	-105.011242
9	779	3	39.75083	-105.00009299999999
9	1042	11	39.847162	-104.675178
9	185	3	30.202231	-97.667128
9	50	1	30.263866999999998	-97.737965
9	392	7	30.268132	-97.749996
9	141	2	30.270048	-97.736111
9	661	4	30.268401	-97.736078
9	1471	2	30.244571999999998	-97.75188399999999
9	748	2	30.264941999999998	-97.738978
9	763	2	30.262214	-97.738947
9	151	4	30.267349	-97.73941500000001
9	1494	2	30.267434	-97.74136800000001
9	1398	2	30.262376	-97.72968900000001
9	1025	3	30.265807000000002	-97.735694
9	945	1	30.265065000000003	-97.738623
9	342	1	30.266337	-97.744646
9	228	1	30.267827	-97.741062
9	104	1	30.267171	-97.74631
9	935	2	30.26485	-97.741157
9	1454	7	39.750298	-105.00008600000001
9	562	1	39.764486	-104.97975100000001
9	964	1	39.878664	-104.682105
9	186	1	33.434277	-112.011583
9	570	1	39.529633000000004	-119.81380300000001
9	489	3	38.933240999999995	-119.984348
9	1120	2	40.017262	-105.25468799999999
9	40	7	39.74389	-104.99037299999999
9	45	6	39.745841999999996	-104.98898899999999
9	887	3	39.737604	-104.98948899999999
9	111	2	39.736858000000005	-104.99074499999999
9	889	5	39.747265000000006	-104.99476399999999
9	831	2	39.753904999999996	-104.98841200000001
9	1182	14	39.750294	-104.997723
9	1490	2	39.740475	-105.071118
9	1033	1	39.750328	-105.001671
9	1087	4	39.744218	-104.990802
9	96	1	39.750249	-104.99778500000001
9	315	3	39.750048	-104.999835
9	1028	1	39.481874	-106.06676000000002
9	1176	2	39.395837	-101.052377
9	135	2	38.84028	-97.611424
9	1324	1	37.692236	-97.33754499999999
9	729	6	39.65764	-104.988023
9	1	3	39.740396000000004	-104.975265
9	627	2	40.018023	-105.280847
9	1411	9	39.748288	-105.000394
9	1432	1	39.76	-98.5
9	1164	1	39.751548	-104.99961299999998
9	181	2	39.743592	-104.99373100000001
9	1346	2	40.008671	-105.277178
9	41	2	40.001204	-105.262689
9	1104	1	39.75015	-105.00028
9	211	2	39.891077	-105.068532
9	1284	8	39.6773	-105.194
9	1453	3	39.755381	-104.996633
9	162	1	39.7435	-104.980177
9	122	1	39.759223999999996	-105.01091799999999
9	1375	1	39.740373	-104.94906999999999
9	609	11	39.756432000000004	-104.994352
9	1476	3	39.74044	-104.97176499999999
9	422	4	39.756277000000004	-104.991222
9	667	1	40.377206	-105.52166499999998
9	1061	1	39.920541	-105.08665
10	246	2	39.481654	-106.038352
10	1147	1	39.952763	-105.168598
10	1217	1	39.847162	-104.675178
10	1438	4	39.665467	-105.205564
10	1366	76	40.014986	-105.270546
10	193	3	40.016535	-105.282058
10	1128	1	39.372212	-104.85609000000001
10	1071	25	40.016232	-105.284228
10	256	4	40.019134	-105.27542700000001
10	122	1	39.759223999999996	-105.01091799999999
10	810	1	40.714269	-74.005973
10	821	2	39.847192	-104.675223
10	1294	13	39.979607	-105.20385800000001
10	1378	2	40.01657	-105.281768
10	855	3	40.01695	-105.280801
10	1095	6	40.018776	-105.277477
10	754	9	40.020492	-105.26729499999999
10	123	7	40.017210999999996	-105.28325900000002
10	547	2	40.016985	-105.280634
10	1326	2	40.018076	-105.27752
10	1295	7	40.057736	-105.282105
10	461	2	39.740071	-104.97725700000001
10	890	21	40.025406	-105.28203500000001
10	286	12	40.016597	-105.282452
10	865	13	40.017286999999996	-105.254667
10	797	1	40.016501	-105.26219099999999
10	769	9	39.848233	-104.675031
10	964	2	39.878664	-104.682105
10	1377	5	39.174578000000004	-76.670897
10	177	3	40.017525	-105.25613999999999
10	1519	2	40.0078	-105.276233
10	1473	3	40.016488	-105.28199
10	295	3	40.021358	-105.262666
10	157	1	40.016203000000004	-105.28176299999998
10	1253	4	40.059253000000005	-105.282105
10	633	8	40.017193	-105.283252
10	236	43	39.748625	-105.00761399999999
10	1060	2	40.01763	-105.278292
10	695	1	40.017520000000005	-105.283308
10	541	1	40.020052	-105.277798
10	708	2	40.01696	-105.28084199999999
10	714	6	40.018221999999994	-105.25606
10	645	6	33.944066	-118.408294
10	309	4	40.017590999999996	-105.28098999999999
10	973	11	40.017802	-105.281906
10	663	1	40.018861	-105.278927
10	425	1	33.435032	-112.00988500000001
10	942	1	33.435035	-112.00728000000001
10	360	1	40.017351	-105.277349
10	368	2	40.017754	-105.282728
10	22	5	40.016883	-105.25612
10	85	2	40.016352000000005	-105.258794
10	1061	1	39.920541	-105.08665
10	957	1	39.762146	-104.98248000000001
10	1200	1	40.016906	-105.28318700000001
10	1301	3	28.429376	-81.306963
10	717	1	40.017068	-105.28541000000001
10	1306	4	40.019427	-105.27920400000001
10	759	2	39.739154	-104.984703
10	1432	1	39.76	-98.5
11	823	1	41.921738	-87.712336
11	1263	1	33.945289	-118.399503
11	817	2	34.005008000000004	-118.81008899999999
11	549	1	35.282752	-120.65961599999999
11	233	1	37.322998	-122.032182
11	1467	1	37.774929	-122.41941499999999
11	1108	1	37.385218	-122.11413
11	1088	5	30.261989	-97.739457
11	522	1	33.436249	-112.01181499999998
11	821	1	39.847192	-104.675223
11	532	8	30.202231	-97.667128
11	1252	2	36.974117	-122.030796
11	1256	1	37.712509000000004	-122.213181
11	152	2	37.770011	-122.42224499999999
11	379	1	30.295207	-97.784296
11	405	3	37.444813	-122.161396
11	412	1	37.441883000000004	-122.143019
11	203	2	37.393789	-122.078926
11	535	2	36.555239	-121.92328799999999
11	701	1	37.579361	-122.346108
11	645	1	33.944066	-118.408294
11	1074	1	25.79325	-80.290555
11	276	3	32.899117	-97.048261
11	186	1	33.434277	-112.011583
11	1190	1	37.250225	-119.75126399999999
11	911	1	38.693472	-121.59149
11	793	1	37.485215000000004	-122.236355
11	974	1	47.500274	-100.00068
12	774	1	39.746365999999995	-105.00746399999998
12	305	1	39.756327	-104.994352
12	1366	10	40.014986	-105.270546
12	554	34	40.016987	-105.263281
12	1228	1	30.26495	-97.738952
12	1356	155	40.018662	-105.27622
12	1294	1	39.979607	-105.20385800000001
12	266	1	39.998148	-105.253749
12	1095	1	40.018776	-105.277477
12	246	3	39.481654	-106.038352
12	1071	3	40.016232	-105.284228
12	432	1	39.743505	-105.01723700000001
12	1519	6	40.0078	-105.276233
12	1326	8	40.018076	-105.27752
12	613	3	40.01815	-105.278925
12	157	5	40.016203000000004	-105.28176299999998
12	309	9	40.017590999999996	-105.28098999999999
12	855	12	40.01695	-105.280801
12	1272	1	39.929957	-105.13088300000001
12	779	3	39.75083	-105.00009299999999
12	875	4	39.716361	-104.987541
12	812	4	40.019402	-105.27941100000001
12	1200	16	40.016906	-105.28318700000001
12	970	4	40.019135999999996	-105.27748700000001
12	738	6	40.017638	-105.281679
12	421	4	40.013828000000004	-105.280026
12	125	6	40.019134	-105.27542700000001
12	1295	5	40.057736	-105.282105
12	286	2	40.016597	-105.282452
12	609	2	39.756432000000004	-104.994352
12	1337	1	39.665315	-105.20672900000001
12	973	3	40.017802	-105.281906
12	1060	3	40.01763	-105.278292
12	1236	4	40.017416	-105.28073300000001
12	1029	3	39.759803999999995	-104.984255
12	670	3	39.740164	-104.94843700000001
12	868	2	39.737604	-104.98948899999999
12	964	4	39.878664	-104.682105
12	663	1	40.018861	-105.278927
12	1438	5	39.665467	-105.205564
12	909	1	40.017583	-105.28266399999998
12	1346	8	40.008671	-105.277178
12	41	13	40.001204	-105.262689
12	541	1	40.020052	-105.277798
12	769	1	39.848233	-104.675031
12	438	14	40.018774	-105.276323
12	325	1	39.734968	-105.15838400000001
12	51	4	40.01762	-105.280826
12	147	1	40.015935	-105.27928
12	999	1	39.755320000000005	-105.009524
12	598	1	39.762366	-105.03527
12	1445	3	40.018759	-105.27704299999999
12	85	4	40.016352000000005	-105.258794
12	1011	3	40.018023	-105.280847
12	859	2	40.016804	-105.280376
12	360	5	40.017351	-105.277349
12	1486	1	40.017112	-105.28323200000001
12	505	1	37.615223	-122.389979
12	639	2	37.78247	-122.407781
12	484	1	39.751425	-105.000289
12	978	3	40.017842	-105.28171599999999
12	783	1	40.007881	-105.26953799999998
12	684	1	40.019003999999995	-105.278678
12	1232	1	39.716439	-104.98762099999999
12	1395	6	39.716446999999995	-104.987583
12	695	1	40.017520000000005	-105.283308
12	975	4	39.640264	-106.374195
12	117	4	40.017492	-105.278085
12	1028	7	39.481874	-106.06676000000002
12	1463	1	40.020122	-105.250681
12	1239	1	40.021846999999994	-105.258899
12	910	1	39.753628000000006	-104.998425
12	605	2	39.753723	-104.992093
12	768	2	39.754373	-104.990778
12	410	2	40.01786	-105.28163300000001
12	257	1	40.015409999999996	-105.205991
12	519	1	40.012599	-105.25498700000001
12	914	1	40.018728	-105.279265
12	761	6	30.263671000000002	-97.741962
12	392	2	30.268132	-97.749996
12	763	1	30.262214	-97.738947
12	748	9	30.264941999999998	-97.738978
12	151	1	30.267349	-97.73941500000001
12	485	2	30.268590999999997	-97.74566899999999
12	945	1	30.265065000000003	-97.738623
12	1494	1	30.267434	-97.74136800000001
12	1349	3	30.265603999999996	-97.740872
12	935	1	30.26485	-97.741157
12	349	1	30.266370000000002	-97.737705
12	759	2	39.739154	-104.984703
12	273	3	40.016785999999996	-105.280555
12	1050	1	40.018910999999996	-105.27516999999999
12	654	2	40.007746999999995	-105.269752
12	243	4	40.018851	-105.256226
12	90	1	39.930312	-105.13491100000002
12	787	1	39.930143	-105.135469
12	354	1	39.748508	-105.00007
12	22	1	40.016883	-105.25612
12	1087	2	39.744218	-104.990802
12	714	4	40.018221999999994	-105.25606
12	1472	1	40.017514	-105.280251
12	1012	1	40.038629	-105.371668
12	262	1	39.753341	-104.992075
12	458	1	29.986862	-95.350611
12	145	2	40.051117	-105.207793
12	1268	2	39.984108	-105.24928100000001
12	531	1	39.750279	-104.997743
12	562	1	39.764486	-104.97975100000001
12	547	4	40.016985	-105.280634
12	35	3	39.633321	-105.31721499999999
12	526	1	40.000066	-105.28298000000001
12	667	1	40.377206	-105.52166499999998
12	616	1	39.868041	-104.971924
12	1061	1	39.920541	-105.08665
12	1197	1	39.802764	-105.087484
12	1147	1	39.952763	-105.168598
13	810	23	40.714269	-74.005973
13	1258	2	43.000347	-75.499898
13	133	2	40.757929	-73.985506
13	365	59	41.823989000000005	-71.412834
13	725	1	42.365646999999996	-71.108322
13	650	5	42.358431	-71.05977299999999
13	806	3	47.606209	-122.332071
13	761	22	30.263671000000002	-97.741962
13	748	10	30.264941999999998	-97.738978
13	763	1	30.262214	-97.738947
13	465	1	30.267153000000004	-97.743061
13	448	2	33.639975	-84.44403199999999
13	951	2	33.636720000000004	-84.428066
13	509	3	25.774266	-80.193659
13	1265	1	35.500694	-80.00032399999999
13	223	5	25.790654	-80.130045
13	985	2	40.64248	-73.788071
13	703	1	42.366091	-71.019187
13	830	2	39.861655999999996	-104.673177
13	759	2	39.739154	-104.984703
13	1292	4	40.017751000000004	-105.282748
13	256	2	40.019134	-105.27542700000001
13	438	2	40.018774	-105.276323
13	851	2	37.614712	-122.392082
13	1173	10	37.414457	-122.07705
13	1445	1	40.018759	-105.27704299999999
13	1200	1	40.016906	-105.28318700000001
13	957	2	39.762146	-104.98248000000001
13	1475	1	45.523452	-122.676207
13	1366	1	40.014986	-105.270546
14	1488	1	34.041992	-118.264968
14	1263	1	33.945289	-118.399503
14	1377	3	39.174578000000004	-76.670897
14	964	4	39.878664	-104.682105
14	244	1	39.745321000000004	-104.99718700000001
14	164	2	39.740031	-104.98018
14	24	1	39.750135	-104.987031
14	581	1	39.753516999999995	-104.998419
14	505	8	37.615223	-122.389979
14	1193	4	37.783743	-122.40212700000001
14	33	1	37.785478000000005	-122.39971399999999
14	1177	2	36.084631	-115.149751
14	1374	1	36.104826	-115.16758600000001
14	194	2	36.113942	-115.173001
14	826	1	45.987719	9.261818
14	185	3	30.202231	-97.667128
14	1362	16	30.269140000000004	-97.739964
14	104	3	30.267171	-97.74631
14	277	3	30.266986	-97.745164
14	151	1	30.267349	-97.73941500000001
14	19	3	30.266626000000002	-97.737117
14	141	2	30.270048	-97.736111
14	392	2	30.268132	-97.749996
14	281	2	30.265603999999996	-97.740872
14	763	1	30.262214	-97.738947
14	748	17	30.264941999999998	-97.738978
14	1215	1	30.267321999999997	-97.738928
14	342	1	30.266337	-97.744646
14	50	1	30.263866999999998	-97.737965
14	1494	4	30.267434	-97.74136800000001
14	945	1	30.265065000000003	-97.738623
14	872	1	37.520215	-122.275801
14	1398	2	30.262376	-97.72968900000001
14	1040	1	30.266861	-97.745471
14	226	1	30.202633000000002	-97.668146
14	685	2	40.285924	-76.650247
14	218	3	38.953381	-77.447712
14	851	2	37.614712	-122.392082
14	453	1	38.900112	-77.01636500000001
14	981	2	38.914702	-77.046081
14	1090	1	37.584103000000006	-122.366083
15	759	5	39.739154	-104.984703
15	855	1	40.01695	-105.280801
15	53	1	39.744129	-104.990691
15	325	8	39.734968	-105.15838400000001
15	868	1	39.737604	-104.98948899999999
15	1332	1	39.753718	-104.99516399999999
15	236	2	39.748625	-105.00761399999999
15	985	1	40.64248	-73.788071
15	614	2	39.753582	-104.99401200000001
15	240	1	39.70795	-105.081419
15	1138	2	40.016203000000004	-105.28176299999998
15	451	1	39.805695	-104.893092
15	1151	1	39.761864	-105.01613600000002
15	853	1	39.731926	-104.962023
15	1366	2	40.014986	-105.270546
15	569	1	39.708335	-105.076574
15	1243	1	39.747948	-104.9985
15	729	1	39.65764	-104.988023
15	1001	2	39.740184	-104.948384
15	362	2	39.891653999999996	-105.763062
15	1126	1	30.267867	-97.736246
15	763	1	30.262214	-97.738947
15	482	1	39.785236	-104.891552
15	521	1	39.754264	-104.997359
15	598	1	39.762366	-105.03527
15	390	1	39.738127	-105.005606
15	964	1	39.878664	-104.682105
15	162	1	39.7435	-104.980177
16	1061	5	39.920541	-105.08665
16	992	7	39.849512	-104.673856
16	1128	21	39.372212	-104.85609000000001
16	246	5	39.481654	-106.038352
16	563	1	39.706098	-105.69750400000001
16	1103	1	40.397760999999996	-105.07498000000001
